semana,data,semana_ano,familia,sku,nome_produto,demanda_total,dem_loja,dem_ecommerce,dem_marketplace,dem_retira,custo_R$,shelf_life_dias
71,2024-05-06,19,F1 - Pereciveis,F1-001,Leite Integral 1L,1048,720,222,84,22,6.8,7
72,2024-05-13,20,F1 - Pereciveis,F1-001,Leite Integral 1L,1190,789,218,81,102,6.8,7
73,2024-05-20,21,F1 - Pereciveis,F1-001,Leite Integral 1L,893,561,126,132,74,6.8,7
74,2024-05-27,22,F1 - Pereciveis,F1-001,Leite Integral 1L,1070,764,147,83,76,6.8,7
75,2024-06-03,23,F1 - Pereciveis,F1-001,Leite Integral 1L,1000,712,131,146,11,6.8,7
76,2024-06-10,24,F1 - Pereciveis,F1-001,Leite Integral 1L,717,535,116,15,51,6.8,7
77,2024-06-17,25,F1 - Pereciveis,F1-001,Leite Integral 1L,748,515,81,78,74,6.8,7
78,2024-06-24,26,F1 - Pereciveis,F1-001,Leite Integral 1L,663,444,99,72,48,6.8,7
79,2024-07-01,27,F1 - Pereciveis,F1-001,Leite Integral 1L,884,614,140,95,35,6.8,7
80,2024-07-08,28,F1 - Pereciveis,F1-001,Leite Integral 1L,1082,707,118,186,71,6.8,7
81,2024-07-15,29,F1 - Pereciveis,F1-001,Leite Integral 1L,1151,741,181,175,54,6.8,7
82,2024-07-22,30,F1 - Pereciveis,F1-001,Leite Integral 1L,878,641,132,96,9,6.8,7
83,2024-07-29,31,F1 - Pereciveis,F1-001,Leite Integral 1L,746,538,105,66,37,6.8,7
84,2024-08-05,32,F1 - Pereciveis,F1-001,Leite Integral 1L,982,707,162,103,10,6.8,7
85,2024-08-12,33,F1 - Pereciveis,F1-001,Leite Integral 1L,634,484,92,44,14,6.8,7
86,2024-08-19,34,F1 - Pereciveis,F1-001,Leite Integral 1L,808,584,109,54,61,6.8,7
87,2024-08-26,35,F1 - Pereciveis,F1-001,Leite Integral 1L,962,697,141,74,50,6.8,7
88,2024-09-02,36,F1 - Pereciveis,F1-001,Leite Integral 1L,1186,826,148,154,58,6.8,7
89,2024-09-09,37,F1 - Pereciveis,F1-001,Leite Integral 1L,1046,691,180,73,102,6.8,7
90,2024-09-16,38,F1 - Pereciveis,F1-001,Leite Integral 1L,759,522,118,93,26,6.8,7
91,2024-09-23,39,F1 - Pereciveis,F1-001,Leite Integral 1L,1045,756,155,103,31,6.8,7
92,2024-09-30,40,F1 - Pereciveis,F1-001,Leite Integral 1L,1038,729,184,81,44,6.8,7
93,2024-10-07,41,F1 - Pereciveis,F1-001,Leite Integral 1L,875,580,134,79,82,6.8,7
94,2024-10-14,42,F1 - Pereciveis,F1-001,Leite Integral 1L,814,530,171,89,24,6.8,7
95,2024-10-21,43,F1 - Pereciveis,F1-001,Leite Integral 1L,849,580,143,102,24,6.8,7
96,2024-10-28,44,F1 - Pereciveis,F1-001,Leite Integral 1L,1130,775,164,100,91,6.8,7
97,2024-11-04,45,F1 - Pereciveis,F1-001,Leite Integral 1L,792,585,69,97,41,6.8,7
98,2024-11-11,46,F1 - Pereciveis,F1-001,Leite Integral 1L,780,516,139,80,45,6.8,7
99,2024-11-18,47,F1 - Pereciveis,F1-001,Leite Integral 1L,1480,1034,248,183,15,6.8,7
100,2024-11-25,48,F1 - Pereciveis,F1-001,Leite Integral 1L,711,484,106,97,24,6.8,7
101,2024-12-02,49,F1 - Pereciveis,F1-001,Leite Integral 1L,1155,797,152,118,88,6.8,7
102,2024-12-09,50,F1 - Pereciveis,F1-001,Leite Integral 1L,1726,1164,207,215,140,6.8,7
103,2024-12-16,51,F1 - Pereciveis,F1-001,Leite Integral 1L,1630,1150,211,162,107,6.8,7
104,2024-12-23,52,F1 - Pereciveis,F1-001,Leite Integral 1L,1325,909,221,168,27,6.8,7
1,2023-01-02,1,F1 - Pereciveis,F1-002,Pao de Forma 500g,869,626,174,60,9,7.5,10
2,2023-01-09,2,F1 - Pereciveis,F1-002,Pao de Forma 500g,863,620,83,120,40,7.5,10
3,2023-01-16,3,F1 - Pereciveis,F1-002,Pao de Forma 500g,707,508,80,81,38,7.5,10
4,2023-01-23,4,F1 - Pereciveis,F1-002,Pao de Forma 500g,734,504,134,71,25,7.5,10
5,2023-01-30,5,F1 - Pereciveis,F1-002,Pao de Forma 500g,682,478,133,43,28,7.5,10
6,2023-02-06,6,F1 - Pereciveis,F1-002,Pao de Forma 500g,441,268,89,31,53,7.5,10
7,2023-02-13,7,F1 - Pereciveis,F1-002,Pao de Forma 500g,871,673,98,79,21,7.5,10
8,2023-02-20,8,F1 - Pereciveis,F1-002,Pao de Forma 500g,701,499,89,107,6,7.5,10
9,2023-02-27,9,F1 - Pereciveis,F1-002,Pao de Forma 500g,622,434,96,79,13,7.5,10
10,2023-03-06,10,F1 - Pereciveis,F1-002,Pao de Forma 500g,515,370,85,55,5,7.5,10
11,2023-03-13,11,F1 - Pereciveis,F1-002,Pao de Forma 500g,568,385,85,77,21,7.5,10
12,2023-03-20,12,F1 - Pereciveis,F1-002,Pao de Forma 500g,742,518,103,52,69,7.5,10
13,2023-03-27,13,F1 - Pereciveis,F1-002,Pao de Forma 500g,414,315,60,24,15,7.5,10
14,2023-04-03,14,F1 - Pereciveis,F1-002,Pao de Forma 500g,598,407,103,56,32,7.5,10
15,2023-04-10,15,F1 - Pereciveis,F1-002,Pao de Forma 500g,612,394,100,70,48,7.5,10
16,2023-04-17,16,F1 - Pereciveis,F1-002,Pao de Forma 500g,599,400,98,70,31,7.5,10
17,2023-04-24,17,F1 - Pereciveis,F1-002,Pao de Forma 500g,606,469,56,41,40,7.5,10
18,2023-05-01,18,F1 - Pereciveis,F1-002,Pao de Forma 500g,689,472,101,96,20,7.5,10
19,2023-05-08,19,F1 - Pereciveis,F1-002,Pao de Forma 500g,599,448,104,41,6,7.5,10
20,2023-05-15,20,F1 - Pereciveis,F1-002,Pao de Forma 500g,667,473,97,43,54,7.5,10
21,2023-05-22,21,F1 - Pereciveis,F1-002,Pao de Forma 500g,514,367,74,46,27,7.5,10
22,2023-05-29,22,F1 - Pereciveis,F1-002,Pao de Forma 500g,581,426,83,62,10,7.5,10
23,2023-06-05,23,F1 - Pereciveis,F1-002,Pao de Forma 500g,571,403,91,37,40,7.5,10
24,2023-06-12,24,F1 - Pereciveis,F1-002,Pao de Forma 500g,616,448,76,57,35,7.5,10
25,2023-06-19,25,F1 - Pereciveis,F1-002,Pao de Forma 500g,597,427,85,78,7,7.5,10
26,2023-06-26,26,F1 - Pereciveis,F1-002,Pao de Forma 500g,556,353,100,61,42,7.5,10
27,2023-07-03,27,F1 - Pereciveis,F1-002,Pao de Forma 500g,467,344,62,48,13,7.5,10
28,2023-07-10,28,F1 - Pereciveis,F1-002,Pao de Forma 500g,611,425,83,81,22,7.5,10
29,2023-07-17,29,F1 - Pereciveis,F1-002,Pao de Forma 500g,641,490,83,43,25,7.5,10
30,2023-07-24,30,F1 - Pereciveis,F1-002,Pao de Forma 500g,551,384,82,53,32,7.5,10
31,2023-07-31,31,F1 - Pereciveis,F1-002,Pao de Forma 500g,645,435,98,62,50,7.5,10
32,2023-08-07,32,F1 - Pereciveis,F1-002,Pao de Forma 500g,564,385,78,59,42,7.5,10
33,2023-08-14,33,F1 - Pereciveis,F1-002,Pao de Forma 500g,490,361,68,34,27,7.5,10
34,2023-08-21,34,F1 - Pereciveis,F1-002,Pao de Forma 500g,694,500,126,29,39,7.5,10
35,2023-08-28,35,F1 - Pereciveis,F1-002,Pao de Forma 500g,600,394,122,73,11,7.5,10
36,2023-09-04,36,F1 - Pereciveis,F1-002,Pao de Forma 500g,720,506,113,72,29,7.5,10
37,2023-09-11,37,F1 - Pereciveis,F1-002,Pao de Forma 500g,706,466,110,90,40,7.5,10
38,2023-09-18,38,F1 - Pereciveis,F1-002,Pao de Forma 500g,550,400,41,73,36,7.5,10
39,2023-09-25,39,F1 - Pereciveis,F1-002,Pao de Forma 500g,860,651,83,102,24,7.5,10
40,2023-10-02,40,F1 - Pereciveis,F1-002,Pao de Forma 500g,843,586,128,98,31,7.5,10
41,2023-10-09,41,F1 - Pereciveis,F1-002,Pao de Forma 500g,717,496,116,73,32,7.5,10
42,2023-10-16,42,F1 - Pereciveis,F1-002,Pao de Forma 500g,677,495,99,74,9,7.5,10
43,2023-10-23,43,F1 - Pereciveis,F1-002,Pao de Forma 500g,741,536,99,88,18,7.5,10
44,2023-10-30,44,F1 - Pereciveis,F1-002,Pao de Forma 500g,632,458,113,39,22,7.5,10
45,2023-11-06,45,F1 - Pereciveis,F1-002,Pao de Forma 500g,709,486,111,64,48,7.5,10
46,2023-11-13,46,F1 - Pereciveis,F1-002,Pao de Forma 500g,679,441,113,69,56,7.5,10
47,2023-11-20,47,F1 - Pereciveis,F1-002,Pao de Forma 500g,971,775,139,47,10,7.5,10
48,2023-11-27,48,F1 - Pereciveis,F1-002,Pao de Forma 500g,725,481,99,72,73,7.5,10
49,2023-12-04,49,F1 - Pereciveis,F1-002,Pao de Forma 500g,706,456,101,100,49,7.5,10
50,2023-12-11,50,F1 - Pereciveis,F1-002,Pao de Forma 500g,1047,732,193,80,42,7.5,10
51,2023-12-18,51,F1 - Pereciveis,F1-002,Pao de Forma 500g,1180,868,213,64,35,7.5,10
52,2023-12-25,52,F1 - Pereciveis,F1-002,Pao de Forma 500g,1064,757,167,127,13,7.5,10
53,2024-01-01,1,F1 - Pereciveis,F1-002,Pao de Forma 500g,987,672,105,151,59,7.5,10
54,2024-01-08,2,F1 - Pereciveis,F1-002,Pao de Forma 500g,826,580,121,117,8,7.5,10
55,2024-01-15,3,F1 - Pereciveis,F1-002,Pao de Forma 500g,415,289,76,37,13,7.5,10
56,2024-01-22,4,F1 - Pereciveis,F1-002,Pao de Forma 500g,723,459,103,89,72,7.5,10
57,2024-01-29,5,F1 - Pereciveis,F1-002,Pao de Forma 500g,566,386,89,65,26,7.5,10
58,2024-02-05,6,F1 - Pereciveis,F1-002,Pao de Forma 500g,662,476,116,42,28,7.5,10
59,2024-02-12,7,F1 - Pereciveis,F1-002,Pao de Forma 500g,622,423,97,62,40,7.5,10
60,2024-02-19,8,F1 - Pereciveis,F1-002,Pao de Forma 500g,588,416,83,63,26,7.5,10
61,2024-02-26,9,F1 - Pereciveis,F1-002,Pao de Forma 500g,661,449,121,75,16,7.5,10
62,2024-03-04,10,F1 - Pereciveis,F1-002,Pao de Forma 500g,786,579,97,59,51,7.5,10
63,2024-03-11,11,F1 - Pereciveis,F1-002,Pao de Forma 500g,672,453,90,114,15,7.5,10
64,2024-03-18,12,F1 - Pereciveis,F1-002,Pao de Forma 500g,552,378,58,67,49,7.5,10
65,2024-03-25,13,F1 - Pereciveis,F1-002,Pao de Forma 500g,699,499,83,63,54,7.5,10
66,2024-04-01,14,F1 - Pereciveis,F1-002,Pao de Forma 500g,595,442,75,47,31,7.5,10
67,2024-04-08,15,F1 - Pereciveis,F1-002,Pao de Forma 500g,579,414,113,33,19,7.5,10
68,2024-04-15,16,F1 - Pereciveis,F1-002,Pao de Forma 500g,630,473,84,67,6,7.5,10
69,2024-04-22,17,F1 - Pereciveis,F1-002,Pao de Forma 500g,529,365,62,59,43,7.5,10
70,2024-04-29,18,F1 - Pereciveis,F1-002,Pao de Forma 500g,896,655,113,88,40,7.5,10
71,2024-05-06,19,F1 - Pereciveis,F1-002,Pao de Forma 500g,651,448,94,92,17,7.5,10
72,2024-05-13,20,F1 - Pereciveis,F1-002,Pao de Forma 500g,707,512,100,26,69,7.5,10
73,2024-05-20,21,F1 - Pereciveis,F1-002,Pao de Forma 500g,618,458,107,47,6,7.5,10
74,2024-05-27,22,F1 - Pereciveis,F1-002,Pao de Forma 500g,711,507,120,68,16,7.5,10
75,2024-06-03,23,F1 - Pereciveis,F1-002,Pao de Forma 500g,702,497,120,52,33,7.5,10
76,2024-06-10,24,F1 - Pereciveis,F1-002,Pao de Forma 500g,486,326,80,63,17,7.5,10
77,2024-06-17,25,F1 - Pereciveis,F1-002,Pao de Forma 500g,550,393,103,48,6,7.5,10
78,2024-06-24,26,F1 - Pereciveis,F1-002,Pao de Forma 500g,549,385,64,50,50,7.5,10
79,2024-07-01,27,F1 - Pereciveis,F1-002,Pao de Forma 500g,557,413,93,45,6,7.5,10
80,2024-07-08,28,F1 - Pereciveis,F1-002,Pao de Forma 500g,622,435,78,64,45,7.5,10
81,2024-07-15,29,F1 - Pereciveis,F1-002,Pao de Forma 500g,647,437,113,53,44,7.5,10
82,2024-07-22,30,F1 - Pereciveis,F1-002,Pao de Forma 500g,620,458,72,73,17,7.5,10
83,2024-07-29,31,F1 - Pereciveis,F1-002,Pao de Forma 500g,608,462,68,51,27,7.5,10
84,2024-08-05,32,F1 - Pereciveis,F1-002,Pao de Forma 500g,623,425,122,52,24,7.5,10
85,2024-08-12,33,F1 - Pereciveis,F1-002,Pao de Forma 500g,505,346,100,41,18,7.5,10
86,2024-08-19,34,F1 - Pereciveis,F1-002,Pao de Forma 500g,553,391,90,67,5,7.5,10
87,2024-08-26,35,F1 - Pereciveis,F1-002,Pao de Forma 500g,566,423,67,56,20,7.5,10
88,2024-09-02,36,F1 - Pereciveis,F1-002,Pao de Forma 500g,780,566,108,79,27,7.5,10
89,2024-09-09,37,F1 - Pereciveis,F1-002,Pao de Forma 500g,642,467,91,30,54,7.5,10
90,2024-09-16,38,F1 - Pereciveis,F1-002,Pao de Forma 500g,629,442,116,42,29,7.5,10
91,2024-09-23,39,F1 - Pereciveis,F1-002,Pao de Forma 500g,716,499,133,70,14,7.5,10
92,2024-09-30,40,F1 - Pereciveis,F1-002,Pao de Forma 500g,688,464,128,70,26,7.5,10
93,2024-10-07,41,F1 - Pereciveis,F1-002,Pao de Forma 500g,662,512,112,27,11,7.5,10
94,2024-10-14,42,F1 - Pereciveis,F1-002,Pao de Forma 500g,554,387,90,35,42,7.5,10
95,2024-10-21,43,F1 - Pereciveis,F1-002,Pao de Forma 500g,557,379,84,56,38,7.5,10
96,2024-10-28,44,F1 - Pereciveis,F1-002,Pao de Forma 500g,701,490,108,56,47,7.5,10
97,2024-11-04,45,F1 - Pereciveis,F1-002,Pao de Forma 500g,534,385,80,53,16,7.5,10
98,2024-11-11,46,F1 - Pereciveis,F1-002,Pao de Forma 500g,566,396,85,63,22,7.5,10
99,2024-11-18,47,F1 - Pereciveis,F1-002,Pao de Forma 500g,1168,781,138,133,116,7.5,10
100,2024-11-25,48,F1 - Pereciveis,F1-002,Pao de Forma 500g,537,391,84,39,23,7.5,10
101,2024-12-02,49,F1 - Pereciveis,F1-002,Pao de Forma 500g,701,478,122,94,7,7.5,10
102,2024-12-09,50,F1 - Pereciveis,F1-002,Pao de Forma 500g,1123,809,136,124,54,7.5,10
103,2024-12-16,51,F1 - Pereciveis,F1-002,Pao de Forma 500g,1177,789,197,116,75,7.5,10
104,2024-12-23,52,F1 - Pereciveis,F1-002,Pao de Forma 500g,924,638,133,113,40,7.5,10
1,2023-01-02,1,F1 - Pereciveis,F1-003,Iogurte Natural 170g,681,516,102,56,7,4.2,15
2,2023-01-09,2,F1 - Pereciveis,F1-003,Iogurte Natural 170g,657,476,87,84,10,4.2,15
3,2023-01-16,3,F1 - Pereciveis,F1-003,Iogurte Natural 170g,485,326,82,65,12,4.2,15
4,2023-01-23,4,F1 - Pereciveis,F1-003,Iogurte Natural 170g,522,359,89,63,11,4.2,15
5,2023-01-30,5,F1 - Pereciveis,F1-003,Iogurte Natural 170g,526,377,96,37,16,4.2,15
6,2023-02-06,6,F1 - Pereciveis,F1-003,Iogurte Natural 170g,434,345,50,19,20,4.2,15
7,2023-02-13,7,F1 - Pereciveis,F1-003,Iogurte Natural 170g,613,400,114,75,24,4.2,15
8,2023-02-20,8,F1 - Pereciveis,F1-003,Iogurte Natural 170g,521,391,65,45,20,4.2,15
9,2023-02-27,9,F1 - Pereciveis,F1-003,Iogurte Natural 170g,458,340,57,53,8,4.2,15
10,2023-03-06,10,F1 - Pereciveis,F1-003,Iogurte Natural 170g,556,358,85,55,58,4.2,15
11,2023-03-13,11,F1 - Pereciveis,F1-003,Iogurte Natural 170g,531,399,70,50,12,4.2,15
12,2023-03-20,12,F1 - Pereciveis,F1-003,Iogurte Natural 170g,554,434,45,57,18,4.2,15
13,2023-03-27,13,F1 - Pereciveis,F1-003,Iogurte Natural 170g,358,234,61,40,23,4.2,15
14,2023-04-03,14,F1 - Pereciveis,F1-003,Iogurte Natural 170g,508,343,111,42,12,4.2,15
15,2023-04-10,15,F1 - Pereciveis,F1-003,Iogurte Natural 170g,483,326,72,64,21,4.2,15
16,2023-04-17,16,F1 - Pereciveis,F1-003,Iogurte Natural 170g,469,339,82,30,18,4.2,15
17,2023-04-24,17,F1 - Pereciveis,F1-003,Iogurte Natural 170g,592,416,78,67,31,4.2,15
18,2023-05-01,18,F1 - Pereciveis,F1-003,Iogurte Natural 170g,503,380,77,34,12,4.2,15
19,2023-05-08,19,F1 - Pereciveis,F1-003,Iogurte Natural 170g,413,289,54,53,17,4.2,15
20,2023-05-15,20,F1 - Pereciveis,F1-003,Iogurte Natural 170g,512,375,78,52,7,4.2,15
21,2023-05-22,21,F1 - Pereciveis,F1-003,Iogurte Natural 170g,450,295,80,42,33,4.2,15
22,2023-05-29,22,F1 - Pereciveis,F1-003,Iogurte Natural 170g,412,258,90,45,19,4.2,15
23,2023-06-05,23,F1 - Pereciveis,F1-003,Iogurte Natural 170g,520,367,102,46,5,4.2,15
24,2023-06-12,24,F1 - Pereciveis,F1-003,Iogurte Natural 170g,488,328,74,61,25,4.2,15
25,2023-06-19,25,F1 - Pereciveis,F1-003,Iogurte Natural 170g,477,309,99,42,27,4.2,15
26,2023-06-26,26,F1 - Pereciveis,F1-003,Iogurte Natural 170g,493,354,70,43,26,4.2,15
27,2023-07-03,27,F1 - Pereciveis,F1-003,Iogurte Natural 170g,422,290,62,46,24,4.2,15
28,2023-07-10,28,F1 - Pereciveis,F1-003,Iogurte Natural 170g,503,346,72,56,29,4.2,15
29,2023-07-17,29,F1 - Pereciveis,F1-003,Iogurte Natural 170g,468,306,60,61,41,4.2,15
30,2023-07-24,30,F1 - Pereciveis,F1-003,Iogurte Natural 170g,506,372,83,45,6,4.2,15
31,2023-07-31,31,F1 - Pereciveis,F1-003,Iogurte Natural 170g,584,400,83,39,62,4.2,15
32,2023-08-07,32,F1 - Pereciveis,F1-003,Iogurte Natural 170g,436,300,57,62,17,4.2,15
33,2023-08-14,33,F1 - Pereciveis,F1-003,Iogurte Natural 170g,434,307,71,30,26,4.2,15
34,2023-08-21,34,F1 - Pereciveis,F1-003,Iogurte Natural 170g,553,390,82,55,26,4.2,15
35,2023-08-28,35,F1 - Pereciveis,F1-003,Iogurte Natural 170g,561,395,80,59,27,4.2,15
36,2023-09-04,36,F1 - Pereciveis,F1-003,Iogurte Natural 170g,556,387,83,70,16,4.2,15
37,2023-09-11,37,F1 - Pereciveis,F1-003,Iogurte Natural 170g,566,402,95,33,36,4.2,15
38,2023-09-18,38,F1 - Pereciveis,F1-003,Iogurte Natural 170g,462,352,50,55,5,4.2,15
39,2023-09-25,39,F1 - Pereciveis,F1-003,Iogurte Natural 170g,622,446,60,75,41,4.2,15
40,2023-10-02,40,F1 - Pereciveis,F1-003,Iogurte Natural 170g,628,446,71,70,41,4.2,15
41,2023-10-09,41,F1 - Pereciveis,F1-003,Iogurte Natural 170g,561,403,91,33,34,4.2,15
42,2023-10-16,42,F1 - Pereciveis,F1-003,Iogurte Natural 170g,592,392,79,66,55,4.2,15
43,2023-10-23,43,F1 - Pereciveis,F1-003,Iogurte Natural 170g,588,431,92,46,19,4.2,15
44,2023-10-30,44,F1 - Pereciveis,F1-003,Iogurte Natural 170g,584,416,73,46,49,4.2,15
45,2023-11-06,45,F1 - Pereciveis,F1-003,Iogurte Natural 170g,531,358,84,46,43,4.2,15
46,2023-11-13,46,F1 - Pereciveis,F1-003,Iogurte Natural 170g,576,405,99,51,21,4.2,15
47,2023-11-20,47,F1 - Pereciveis,F1-003,Iogurte Natural 170g,849,622,131,54,42,4.2,15
48,2023-11-27,48,F1 - Pereciveis,F1-003,Iogurte Natural 170g,591,418,100,67,6,4.2,15
